105	4.253215e-02 4.391090e-01 2.969232e-01 2.483902e-01 1.241105e-01 3.858021e-01
106	1.000000e-05 2.525185e-01 1.878609e-01 1.927365e-01 2.887769e-01 2.190276e-01
320	8.923290e-02 1.064319e-02 5.324620e-03 1.000000e-05 1.000000e-05 5.246660e-02
321	1.000000e-05 3.152107e-03 4.718387e-03 4.913565e-04 9.083536e-03 1.472620e-02
322	2.105072e-02 3.341574e-01 5.176037e-01 5.283211e-01 2.263476e-01 3.676750e-01
326	4.919891e-02 4.100811e-02 2.921999e-02 5.390920e-02 5.171526e-02 5.841796e-02
328	1.465188e-02 7.213808e-01 8.645041e-01 9.877336e-01 6.818837e-01 4.300372e-01
329	7.473933e-02 4.482290e-01 6.516717e-01 8.511132e-01 3.169444e-01 8.640013e-01
330	2.842987e-01 5.237238e-01 7.090866e-01 6.292736e-01 1.034960e+00 4.865493e-01
338	4.968193e-02 3.683031e-01 3.799574e-01 3.530336e-01 4.050604e-01 2.419822e-01
345	6.149947e-02 4.093443e-01 5.158991e-01 3.418012e-01 4.467167e-01 8.921249e-01
346	1.364105e-01 6.030466e-01 7.135534e-01 6.356195e-01 9.226896e-01 6.784505e-01
354	1.174374e-02 6.007977e-01 9.983390e-01 4.722448e-02 1.815785e-01 9.411569e-01
358	8.968065e-03 5.489865e-01 3.857109e-01 7.130217e-01 1.549475e-01 7.600331e-01
362	2.953656e-01 4.992799e-01 7.087039e-01 1.704962e-01 1.304893e+00 4.999743e-01
384	3.113416e-02 1.806104e-01 1.935617e-01 4.270788e-01 4.111762e-01 2.942094e-01
385	7.313225e-02 3.987919e-01 7.383028e-01 8.498952e-01 3.512664e-01 7.450182e-01
386	1.000000e-05 1.305862e-01 1.535450e-01 2.103285e-01 1.375213e-01 2.249049e-01
388	2.566291e-02 1.822658e-01 2.933668e-01 3.301282e-01 3.445208e-01 4.862346e-01
389	6.075515e-02 2.963069e-01 1.976840e-01 2.662964e-01 1.622132e-01 2.960356e-01
390	1.097285e-01 3.375123e-01 4.511571e-01 1.883701e-01 6.059406e-01 2.866297e-01
393	8.757284e-04 7.718840e-02 1.223506e+00 1.566893e+00 1.800834e-02 1.145328e+00
401	3.874886e-02 5.868081e-01 5.908352e-01 4.317945e-01 1.532755e-01 5.461746e-01
409	5.372003e-02 3.733667e-01 6.835304e-01 1.016356e+00 5.306256e-01 8.315646e-01
417	1.091563e-01 3.925760e-01 6.268786e-01 1.245472e+00 5.161633e-01 1.092953e+00
421	2.339613e-01 1.080525e-01 6.897017e-01 1.399323e+00 5.028173e-01 9.300169e-01
1040	1.192191e-01 4.322057e-01 3.386394e-01 7.098314e-01 2.814042e-01 4.943228e-01
1041	3.951346e-02 5.383545e-01 2.445802e-01 5.365531e-01 2.374798e-01 4.511504e-01
1042	6.088598e-02 8.211369e-01 3.903244e-01 9.025306e-01 5.294270e-01 4.864005e-01
1044	3.398004e-02 2.810604e-02 3.005612e-02 3.312368e-02 3.700671e-02 2.552079e-02
1045	3.817399e-02 8.018323e-03 3.971822e-02 1.521434e-02 2.576636e-02 2.909713e-02
1046	1.471542e-02 1.580953e-01 3.689873e-01 3.564651e-01 4.426958e-01 4.838997e-01
1048	4.004195e-02 5.175092e-01 6.593109e-01 1.216749e+00 2.760592e-01 8.012283e-01
1049	1.437549e-02 4.294103e-01 1.172067e+00 8.001638e-01 3.405783e-01 8.973760e-01
1050	9.322068e-02 4.837510e-01 3.997558e-01 6.501557e-01 5.299755e-01 6.792912e-01
1056	3.489291e-02 4.758567e-01 3.428807e-01 4.400121e-01 4.178808e-01 3.359035e-01
